company_name,company_desc,img_src
iShares FTSE EPRA/NAREIT Europe Index Fund,Secured responsive knowledge base,http://dummyimage.com/200x200.png/cc0000/ffffff
"Dover Motorsports, Inc.",Assimilated systematic encoding,http://dummyimage.com/200x200.png/dddddd/000000
"Heron Therapeutics, Inc.  ",Fundamental client-server moratorium,http://dummyimage.com/200x200.png/ff4444/ffffff
Senior Housing Properties Trust,Multi-lateral explicit interface,http://dummyimage.com/200x200.png/dddddd/000000
Morgan Stanley,Cross-group fault-tolerant emulation,http://dummyimage.com/200x200.png/dddddd/000000
"Royce Global Value Trust, Inc.",Grass-roots 4th generation middleware,http://dummyimage.com/200x200.png/cc0000/ffffff
"Seres Therapeutics, Inc.",Programmable scalable open architecture,http://dummyimage.com/200x200.png/ff4444/ffffff
"Ventas, Inc.",Customer-focused upward-trending architecture,http://dummyimage.com/200x200.png/cc0000/ffffff
Apollo Tactical Income Fund Inc.,Synergistic global project,http://dummyimage.com/200x200.png/cc0000/ffffff
Bioblast Pharma Ltd.,Horizontal grid-enabled project,http://dummyimage.com/200x200.png/5fa2dd/ffffff
RGC Resources Inc.,Function-based transitional task-force,http://dummyimage.com/200x200.png/ff4444/ffffff
"Monster Digital, Inc.",Compatible global circuit,http://dummyimage.com/200x200.png/5fa2dd/ffffff
Ligand Pharmaceuticals Incorporated,Customizable value-added encryption,http://dummyimage.com/200x200.png/ff4444/ffffff
"Tivity Health, Inc.",Phased next generation solution,http://dummyimage.com/200x200.png/ff4444/ffffff
The First of Long Island Corporation,Horizontal bottom-line open architecture,http://dummyimage.com/200x200.png/dddddd/000000
Central European Media Enterprises Ltd.,Sharable methodical leverage,http://dummyimage.com/200x200.png/dddddd/000000
"Omega Flex, Inc.",Persistent didactic groupware,http://dummyimage.com/200x200.png/dddddd/000000
"Proteon Therapeutics, Inc.",Progressive methodical installation,http://dummyimage.com/200x200.png/cc0000/ffffff
Eaton vance Floating-Rate Income Plus Fund,Switchable foreground Graphic Interface,http://dummyimage.com/200x200.png/ff4444/ffffff
Protective Life Corporation,Customizable executive strategy,http://dummyimage.com/200x200.png/dddddd/000000
Blackrock Capital and Income Strategies Fund Inc,Organic didactic instruction set,http://dummyimage.com/200x200.png/dddddd/000000
"Diplomat Pharmacy, Inc.",Reduced system-worthy task-force,http://dummyimage.com/200x200.png/dddddd/000000
BioShares Biotechnology Products Fund,Customizable user-facing capacity,http://dummyimage.com/200x200.png/ff4444/ffffff
"OSI Systems, Inc.",Organized attitude-oriented help-desk,http://dummyimage.com/200x200.png/cc0000/ffffff
"Sensus Healthcare, Inc.",Customizable fault-tolerant alliance,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"Walker & Dunlop, Inc.",Monitored real-time encryption,http://dummyimage.com/200x200.png/dddddd/000000
"AmTrust Financial Services, Inc.",Integrated content-based functionalities,http://dummyimage.com/200x200.png/cc0000/ffffff
Lam Research Corporation,Multi-channelled contextually-based challenge,http://dummyimage.com/200x200.png/5fa2dd/ffffff
PowerShares 1-30 Laddered Treasury Portfolio,Synergized intermediate knowledge user,http://dummyimage.com/200x200.png/dddddd/000000
"Aduro Biotech, Inc.",Front-line 24 hour moratorium,http://dummyimage.com/200x200.png/cc0000/ffffff
Teekay Tankers Ltd.,Re-engineered system-worthy internet solution,http://dummyimage.com/200x200.png/cc0000/ffffff
"Tortoise Power and Energy Infrastructure Fund, Inc",Universal optimizing capability,http://dummyimage.com/200x200.png/ff4444/ffffff
TravelCenters of America LLC,Multi-tiered 4th generation instruction set,http://dummyimage.com/200x200.png/dddddd/000000
"Willamette Valley Vineyards, Inc.",De-engineered zero administration interface,http://dummyimage.com/200x200.png/cc0000/ffffff
"Echo Global Logistics, Inc.",Progressive web-enabled core,http://dummyimage.com/200x200.png/cc0000/ffffff
Applied DNA Sciences Inc,Multi-tiered composite standardization,http://dummyimage.com/200x200.png/cc0000/ffffff
Vanguard Short-Term Inflation-Protected Securities Index Fund,Managed intangible structure,http://dummyimage.com/200x200.png/cc0000/ffffff
